catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,high_pm,453,116478,,1,1,354.02324393,18.44220173,27.32,1.59,686.01,211.89,7.7757,0.7,HIP1,717.9882256694743,36.60322,0.058199123,hip_solution_type_not_5,1
hipparcos2,high_pm,454,47650,,5,0,145.72031032,70.04005602,88.07,2.41,-667.94,-263.25,11.2606,1.488,HIP1,717.9445703534501,11.354605,0.027364597,,0
hipparcos2,high_pm,455,114411,,5,0,347.56366673,-25.93136582,62.17,3.27,717.43,22.12,11.3233,1.566,HIP1,717.7709239722657,16.084929,0.052597716,,0
hipparcos2,high_pm,456,66906,,5,0,205.68061184,33.29182236,107.77,3.22,-110.07,-709.17,11.9808,2.4,HIP1,717.6611274132102,9.27902,0.029878447,,0
hipparcos2,high_pm,457,14023,,5,0,45.14870009,5.98644697,32.14,1.18,699.79,-157.38,8.2603,0.838,HIP1,717.2687839994153,31.113878,0.036714375,,0
hipparcos2,high_pm,458,88348,,5,0,270.62753641,26.31446576,45.21,0.54,389.41,-602.03,7.151,0.799,HIP1,716.9939114106897,22.119001,0.01194426,,0
hipparcos2,high_pm,459,84212,,5,1,258.2131738,-5.12368043,50.1,3.62,180.99,-693.65,11.7334,1.49,HIP1,716.8735610970738,19.960081,0.07225549,,0
hipparcos2,high_pm,460,116443,,5,0,353.93301454,41.96735779,37.02,2.33,700.81,149.82,11.3001,1.372,HIP1,716.6454412748328,27.012424,0.06293895,,0
hipparcos2,high_pm,461,14879,,15,3,48.01783347,-28.98910634,70.24,0.45,370.87,611.33,3.9821,0.543,HIP1,715.0307166828569,14.236902,0.006406606,hip_solution_type_not_5,1
hipparcos2,high_pm,462,82256,,5,0,252.10593269,-72.97479208,62.97,1.99,-480.59,-529.12,11.3802,1.6,HIP1,714.7969799180744,15.880578,0.03160235,,0
hipparcos2,high_pm,463,24819,,15,3,79.80103848,-3.07414006,64.73,1.11,700.32,135.59,7.8886,1.051,HIP1,713.3251365962088,15.448787,0.017148154,hip_solution_type_not_5,1
hipparcos2,high_pm,464,44955,,15,3,137.3785092,32.82083713,48.94,1.96,-335.28,-628.67,10.0339,1.38,HIP1,712.4876471209869,20.433184,0.040049043,hip_solution_type_not_5,1
hipparcos2,high_pm,465,64275,,5,0,197.59072263,67.49486872,29.89,0.74,-710.05,-18.63,9.0281,0.923,HIP1,710.2943610926388,33.456005,0.024757445,,0
hipparcos2,high_pm,466,3306,,5,0,10.53458251,-52.35817498,11.01,3.15,629.79,-328.44,12.3721,0.95,HIP1,710.2874613140795,90.82652,0.28610355,parallax_frac_error_gt_0p1,1
hipparcos2,high_pm,467,42940,,5,0,131.29424407,41.67341817,37.59,0.86,-282.81,-650.31,8.6624,0.94,HIP1,709.1435624751873,26.60282,0.022878425,,0
hipparcos2,high_pm,468,99792,,5,0,303.70846632,18.46569365,23.17,1.99,-122.35,-694.86,10.6295,0.0,HIP1,705.549390262652,43.159256,0.085886925,,0
